,index,dissatisfaction_reason,Quarter,Submitted date,"What was the main purpose of your visit today? Please choose one option only. The list represents broad categories, and you may be asked to further specify the main reason why you visited today.",Approximately how often do you visit My Account?,Overall how satisfied were you with today's experience?,Which option did you choose to login to My Account?,Did/do you need to call the CRA to complete your visit/transaction today?,Are you:,I live in...,What is the highest level of education you have completed?,Would you be willing to indicate in which of the following age categories you belong?,What language do you speak most often at home?,Which of the following categories best describes your current employment status?,"Which of the following categories best represents your most recent annual household income, before taxes?",Are you an Aboriginal person?,Are you a person with a disability?,Are you a member of a visible minority group?,From what type of device did you access My Account today?,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Second_Topic,Third_Topic
1038,17322,"My tax return was submitted over 2 months ago, no explanation as to why it is taking so long and it is nearly impossible to contact someone to find out why.",Q1,5/22/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,Some high school,50 to 54,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.4659999907016754,"find, tax, receive, return, mail, say, need, log, year, process","['tax', 'return', 'submit', 'months_ago', 'explanation', 'taking_long', 'nearly', 'impossible', 'contact', 'find']",3.0,10.0
1039,17388,I am unable to open the email I was sent regarding my TFSA account. I was sent the email a week ago. My attempts to open the email have all resulted in some sort of server error.,Q1,5/23/2018,Online mail,Once or twice per year,Very dissatisfied,,No,Male,Ontario,University graduate,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,0.0,0.3215999901294708,"update, able, email, check, answer, ask, know, understand, message, like","['unable', 'open', 'email', 'send', 'tfsa', 'account', 'send', 'email', 'week', 'ago', 'attempt', 'open', 'email', 'result', 'sort', 'server_error']",8.0,3.0
1040,17392,Not clear enough or detailed enough on contribution room.,Q1,5/23/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Ontario,Post-graduate degree,Prefer not to say,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,0.0,0.5314000248908997,"update, able, email, check, answer, ask, know, understand, message, like","['clear', 'detailed', 'contribution_room']",5.0,0.0
1041,17433,"Your website is very poorly designed !!!   VERY, VERY POORLY DESIGNED !!!!!",Q1,5/23/2018,Accounts and payments,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,British Columbia,Post-graduate degree,65 or older,English,Retired,"$60,000 to under $80,000",No,No,Prefer not to say,Desktop or laptop computer,3.0,0.6873999834060669,"time, available, reassessment, login, never, option, service, take, long, taxis","['website', 'poorly', 'design', 'poorly', 'design']",5.0,0.0
1042,17437,I paid my taxes in March and it still not showing paid. Did you receive it from a bill payment from my bank.,Q1,5/23/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Male,Ontario,Some high school,65 or older,French,Retired,Prefer not to say,No,No,No,Tablet,6.0,0.5274999737739563,"information, payment, pay, look, wait, tell, get, balance, owe, show","['pay', 'taxis', 'march', 'show', 'pay', 'receive', 'bill', 'payment', 'bank']",8.0,3.0
1043,17489,Sick of waiting for months and months for adjustments to be rectified,Q1,5/24/2018,Prefer not to say,,Very dissatisfied,,Yes,Prefer not to say,Prefer not to say,College/vocational/technical school,Prefer not to say,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",Prefer not to say,No,Prefer not to say,Smartphone,1.0,0.8411999940872192,"change, try, date, online, month, document, send, submit, credit, file","['sick', 'waiting', 'month', 'month', 'adjustment', 'rectify']",3.0,7.0
1044,17492,"My account information was not updated. CRA accounting system seems very slow, should be much faster than what it is.",Q1,6/2/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,Ontario,Post-graduate degree,35 to 49,Other,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,Prefer not to say,Smartphone,5.0,0.4016000032424927,"account, access, instalment, error, statement, view, user, address, easy, phone","['account', 'information', 'update', 'accounting', 'system', 'slow', 'faster']",0.0,1.0
1045,17493,"There is no date showing *when* my tax return was received. Clicking on the ""received"" link, takes me to a 404 page.",Q1,5/24/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,I currently live outside of Canada,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Tablet,4.0,0.6133000254631042,"find, tax, receive, return, mail, say, need, log, year, process","['date', 'show', 'tax', 'return', 'receive', 'clicking', 'receive', 'link', 'take', 'page']",10.0,3.0
1046,17529,“Return is being processed” - That is not very helpful,Q1,5/24/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Prefer not to say,Ontario,Prefer not to say,Prefer not to say,English,Prefer not to say,Prefer not to say,No,No,No,Smartphone,4.0,0.5313000082969666,"find, tax, receive, return, mail, say, need, log, year, process","['return', 'process', 'helpful']",3.0,0.0
1047,17530,I have been told that the CRA is switching/updating their payment systems. A payment I made months ago hasn't been e-transfered to the correct part of CRA. I'm getting letters for months. Disappointed,Q1,5/24/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Male,Alberta,Post-graduate degree,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,Yes,No,Desktop or laptop computer,6.0,0.2946999967098236,"information, payment, pay, look, wait, tell, get, balance, owe, show","['tell', 'switch', 'update', 'payment', 'system', 'payment', 'months_ago', 'transfer', 'correct', 'get', 'letter', 'month', 'disappoint']",8.0,5.0
1048,17548,"I opened to see a job posting. But, it was not available therein.",Q1,5/24/2018,Online mail,Once every 2 to 3 months,Somewhat dissatisfied,,No,Prefer not to say,Ontario,Prefer not to say,65 or older,Prefer not to say,Working full-time (35+ hours per week),"$80,000 to under $100,000",Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,5.0,0.6237000226974487,"account, access, instalment, error, statement, view, user, address, easy, phone","['open', 'job', 'posting', 'available']",8.0,1.0
1049,17568,Feel my efiled return is taking too long to process or perhaps the site isn't updated.,Q1,5/24/2018,Tax returns,Prefer not to say,Somewhat dissatisfied,,No,Female,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$20,000 to under $40,000",No,Yes,No,Smartphone,4.0,0.2655999958515167,"find, tax, receive, return, mail, say, need, log, year, process","['feel', 'file', 'return', 'taking_long', 'process', 'site', 'update']",0.0,6.0
1050,17578,It’s taking over 13 weeks for my return to be processed!!! Unacceptable,Q1,5/24/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Newfoundland and Labrador,Post-graduate degree,18 to 34,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Smartphone,4.0,0.4075999855995178,"find, tax, receive, return, mail, say, need, log, year, process","['take', 'week', 'return', 'process', 'unacceptable']",8.0,3.0
1051,17656,"Main issue: Could not find a way to retrieve my ""Dispute"" case number. I think you could do a better job of automatically populating the case number field for submission of documents.",Q1,5/25/2018,Submit documents,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,University graduate,50 to 54,English,"Unemployed, but looking for work",Prefer not to say,No,No,No,Desktop or laptop computer,2.0,0.274399995803833,"want, site, help, letter, agent, line, difficult, response, make, direct","['main', 'issue', 'find', 'way', 'retrieve', 'dispute', 'case_number', 'think', 'well', 'job', 'automatically', 'populate', 'case_number', 'field', 'submission', 'document']",10.0,6.0
1052,17691,"No response, and no way to track my mail/communications with CRA",Q1,5/25/2018,Other,Once per month or more,Very dissatisfied,,No,Female,Ontario,Post-graduate degree,55 to 64,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,1.0,0.520799994468689,"change, try, date, online, month, document, send, submit, credit, file","['response', 'way', 'track', 'mail', 'communication']",5.0,8.0
1053,17698,Allow me to communicate with you from my account.,Q1,5/25/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,7.0,0.5311999917030334,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent","['allow', 'communicate', 'account']",8.0,6.0
1054,17708,the cpp structure and content,Q1,5/25/2018,Other,Prefer not to say,Somewhat dissatisfied,,Prefer not to say,Male,British Columbia,Some high school,35 to 49,English,Other,"Under $20,000",No,Yes,No,Other,7.0,0.4104999899864197,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent","['pension_plan', 'structure', 'content']",5.0,4.0
1055,17712,I sent in reassessment over a month ago and there is no indication that this has happened.,Q1,5/25/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Male,Alberta,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,3.0,0.35420000553131104,"time, available, reassessment, login, never, option, service, take, long, taxis","['send', 'reassessment', 'month_ago', 'indication', 'happen']",3.0,6.0
1056,17725,Waiting for well over a month for my tax refund to be paid,Q1,5/25/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Female,Saskatchewan,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,6.0,0.35420000553131104,"information, payment, pay, look, wait, tell, get, balance, owe, show","['wait', 'month', 'tax', 'refund', 'pay']",0.0,8.0
1057,17736,I E-filed Feb 26/18. You asked for additional information which was sent and signed for by the CRA on Mar. 23/18. It was finally put into your system on Apr. 10/16 and it is not complete yet  WTF,Q1,5/25/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,College/vocational/technical school,65 or older,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,6.0,0.4341999888420105,"information, payment, pay, look, wait, tell, get, balance, owe, show","['file', 'feb', '26/18', 'ask', 'additional', 'information', 'send', 'sign', 'mar', '23/18', 'finally', 'system', 'apr', '10/16', 'complete', 'whf']",0.0,8.0
1058,17739,I logged in to find out my account balance but was unable to get this information from the website.,Q1,5/25/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,Yes,Female,Quebec,Post-graduate degree,55 to 64,English,Self-employed,"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.3905999958515167,"find, tax, receive, return, mail, say, need, log, year, process","['log', 'find', 'account', 'balance', 'unable', 'information', 'website']",10.0,8.0
1059,17760,"My payment made electronically on April 28, 2018 paying my balance due at that time is not showing in my account.",Q1,5/25/2018,Accounts and payments,This was my first visit,Somewhat dissatisfied,CRA user ID and password,Yes,Female,British Columbia,Some university,55 to 64,English,Working part-time (less than 35 hours per week),"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,6.0,0.45840001106262207,"information, payment, pay, look, wait, tell, get, balance, owe, show","['payment', 'electronically', 'april', 'pay', 'balance', 'time', 'show', 'account']",5.0,0.0
1060,17761,Very slow process,Q1,5/25/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,University graduate,35 to 49,English,Self-employed,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.375,"find, tax, receive, return, mail, say, need, log, year, process","['slow', 'process']",5.0,0.0
1061,17819,I  strongly urge you to reconsider NOT having me use my assigned CRA Security Code each time I log in. I use LastPass password manager & was relying on using the CRA Security Code each time to log in.,Q1,5/26/2018,Accounts and payments,Once or twice per year,Very dissatisfied,,No,Female,Ontario,University graduate,65 or older,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,2.0,0.24130000174045563,"want, site, help, letter, agent, line, difficult, response, make, direct","['strongly', 'urge', 'reconsider', 'have', 'use', 'assign', 'security_code', 'time', 'log', 'use', 'password', 'manager', 'rely', 'security_code', 'time', 'log']",10.0,8.0
1062,17827,still cannot find what I am looking for.,Q1,5/26/2018,Accounts and payments,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Prince Edward Island,College/vocational/technical school,55 to 64,English,Self-employed,"Under $20,000",No,No,No,Desktop or laptop computer,4.0,0.375,"find, tax, receive, return, mail, say, need, log, year, process","['find', 'look']",0.0,1.0
1063,17844,Not with the my My Account service rather the remittance process. I submitted my bal due pymt on Apr 30th (have postal receipt) to the Heron Rd D.C. and it still hasn't been applied to my acc't.,Q1,5/26/2018,Accounts and payments,Once per month or more,Very dissatisfied,,No,Male,Ontario,College/vocational/technical school,55 to 64,English,Working part-time (less than 35 hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,5.0,0.35269999504089355,"account, access, instalment, error, statement, view, user, address, easy, phone","['account', 'service', 'remittance', 'process', 'submit', 'bal', 'pym', 'apr', '30th', 'postal', 'receipt', 'heron', 'cd', 'apply', 'acct']",3.0,8.0
1064,17864,Cannot locate information slip information needed,Q1,5/26/2018,RRSP and TFSA,Once every 2 to 3 months,Very dissatisfied,,No,Male,British Columbia,University graduate,65 or older,English,Retired,"$60,000 to under $80,000",No,No,Yes,Desktop or laptop computer,6.0,0.35420000553131104,"information, payment, pay, look, wait, tell, get, balance, owe, show","['locate', 'information', 'slip', 'information', 'need']",0.0,6.0
1065,17868,"You can’t find out if you have received the required information to reactivate my claim, information has been mail twice and now faxed in but apparently they still haven’t received it!!",Q1,5/26/2018,Benefits and tax credits information,Prefer not to say,Somewhat dissatisfied,,Prefer not to say,Prefer not to say,Ontario,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,4.0,0.593999981880188,"find, tax, receive, return, mail, say, need, log, year, process","['find', 'receive', 'require', 'information', 'reactivate', 'claim', 'information', 'mail', 'twice', 'fax', 'apparently', 'receive']",3.0,6.0
1066,17869,"I have been trying since March to solve a problem with my 2016 return, and between phone calls and online checks, have been frustrated with the lack of answers",Q1,5/26/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Male,British Columbia,University graduate,55 to 64,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,0.0,0.40560001134872437,"update, able, email, check, answer, ask, know, understand, message, like","['try', 'march', 'solve', 'problem', 'return', 'phone_calls', 'online', 'check', 'frustrated', 'lack', 'answer']",8.0,0.0
1067,17875,"I did not get an update on my account. I included a T5 Income Slip,( 2015 Tax Year) from Tangerine Bank. An Tax Amendment form with the Correct T5 Slip from Tangerine Bank,(2017 Tax Year) is include",Q1,5/26/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,No,Male,Alberta,High school graduate,55 to 64,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,4.0,0.47440001368522644,"find, tax, receive, return, mail, say, need, log, year, process","['update', 'account', 'include', 'income', 'slip', 'tax', 'year', 'tangerine', 'bank', 'tax', 'amendment', 'form', 'correct', 'slip', 'tangerine', 'tax', 'year', 'include']",0.0,6.0
1068,17882,Couldn't find out what my mandatory 2018 quarterly installment amounts were,Q1,5/26/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Alberta,University graduate,65 or older,English,Working part-time (less than 35 hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.426800012588501,"account, access, instalment, error, statement, view, user, address, easy, phone","['find', 'mandatory', 'quarterly_instalment', 'amount']",5.0,7.0
1069,17901,I can't view my cctb gst or trillium benefits for july 2018,Q1,5/26/2018,Benefits and tax credits information,Once per month or more,Somewhat dissatisfied,,No,Female,Ontario,College/vocational/technical school,35 to 49,English,"Unemployed, but looking for work","$20,000 to under $40,000",No,Yes,No,Smartphone,1.0,0.32679998874664307,"change, try, date, online, month, document, send, submit, credit, file","['view', 'canada_child_benefit', 'gst', 'trillium', 'benefit', 'july']",3.0,10.0
1070,17908,Because of not being able to speak with a representative on why my statement has changed!,Q1,5/26/2018,Accounts and payments,Once per month or more,Very dissatisfied,,Yes,Male,Quebec,Some high school,65 or older,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Tablet,6.0,0.35420000553131104,"information, payment, pay, look, wait, tell, get, balance, owe, show","['able', 'speak', 'representative', 'statement', 'change']",0.0,6.0
1071,17918,"I was told my return would be done by May 21/18 and it still shows ""processing""",Q1,5/26/2018,Other,Prefer not to say,Somewhat dissatisfied,,Yes,Male,Alberta,Some university,65 or older,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,6.0,0.43140000104904175,"information, payment, pay, look, wait, tell, get, balance, owe, show","['tell', 'return', '21/18', 'show', 'process']",3.0,8.0
1072,17972,could not change line 210 on my return,Q1,5/27/2018,Tax returns,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,High school graduate,65 or older,English,Retired,"$60,000 to under $80,000",No,No,Yes,Desktop or laptop computer,1.0,0.28130000829696655,"change, try, date, online, month, document, send, submit, credit, file","['change', 'line', 'return']",6.0,0.0
1073,18007,Records are extremely out of date,Q1,5/27/2018,Online mail,Once per month or more,Somewhat dissatisfied,,No,Male,Ontario,Some high school,65 or older,English,Working part-time (less than 35 hours per week),"$40,000 to under $60,000",No,No,No,Tablet,0.0,0.5310999751091003,"update, able, email, check, answer, ask, know, understand, message, like","['record', 'extremely', 'date']",0.0,8.0
1074,18017,I know that anything I do re pay tax withdraw overpayment takes far too mlong to be posted on site it is 'scary' for me aged 80 I need reassurance that CRA has received my monies,Q1,5/27/2018,RRSP and TFSA,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Nova Scotia,Post-graduate degree,65 or older,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.26649999618530273,"find, tax, receive, return, mail, say, need, log, year, process","['know', 'pay', 'tax', 'withdraw', 'overpayment', 'takes_far', 'long', 'post', 'site', 'scary', 'aged', 'need', 'reassurance', 'receive', 'monie']",5.0,0.0
1075,18035,"error on page won't show me totals, or when i can expect a payment",Q1,5/27/2018,Accounts and payments,Once per month or more,Somewhat dissatisfied,,Yes,Female,British Columbia,Some university,35 to 49,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,5.0,0.35420000553131104,"account, access, instalment, error, statement, view, user, address, easy, phone","['error', 'page', 'total', 'expect', 'payment']",5.0,0.0
1076,18051,no good,Q1,5/27/2018,Accounts and payments,This was my first visit,Somewhat dissatisfied,CRA user ID and password,No,Female,Prince Edward Island,Some high school,18 to 34,Other,Other,Prefer not to say,No,Yes,No,Smartphone,0.0,0.5625,"update, able, email, check, answer, ask, know, understand, message, like",['good'],1.0,2.0
1077,18053,I was trying to find my RC62 Universal Child Care Benefits Statement for 2017 so that I could print a copy for my records and I could not find this option anywhere on the site.,Q1,5/27/2018,Benefits and tax credits information,Once or twice per year,Somewhat dissatisfied,,Yes,Female,Ontario,University graduate,35 to 49,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,4.0,0.31279999017715454,"find, tax, receive, return, mail, say, need, log, year, process","['try', 'find', 'rcd', 'universal', 'child_care', 'benefit', 'statement', 'print', 'copy', 'record', 'find', 'option', 'site']",3.0,6.0
1078,18083,still waiting on my tax return to be processed almost over 3 months now,Q1,5/28/2018,Tax returns,Once every 2 to 3 months,Very dissatisfied,,Yes,Female,Ontario,High school graduate,35 to 49,English,Working part-time (less than 35 hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,4.0,0.520799994468689,"find, tax, receive, return, mail, say, need, log, year, process","['wait', 'tax', 'return', 'process', 'month']",3.0,8.0
1079,18098,"My Tax Return was filed on April 6, 2018.  I have yet to receive my tax refund.",Q1,5/28/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Ontario,University graduate,55 to 64,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.6406000256538391,"find, tax, receive, return, mail, say, need, log, year, process","['tax', 'return', 'file', 'april', 'receive', 'tax', 'refund']",3.0,0.0
1080,18109,we can not see why income tax return is still in process after 2 months,Q1,5/28/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,No,Female,Quebec,Some university,65 or older,English,Retired,"$20,000 to under $40,000",No,No,No,Tablet,4.0,0.520799994468689,"find, tax, receive, return, mail, say, need, log, year, process","['income', 'tax', 'return', 'process', 'month']",3.0,8.0
1081,18115,"I filed my return begining of March, and it's almost June. there are no details as to a completion date, or why it's delayed. Very frusterating.",Q1,5/28/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Female,British Columbia,College/vocational/technical school,35 to 49,English,Working full-time (35+ hours per week),"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,1.0,0.25619998574256897,"change, try, date, online, month, document, send, submit, credit, file","['file', 'return', 'march', 'june', 'details', 'completion', 'date', 'delay', 'frustrating']",3.0,8.0
1082,18129,I cannot find my info.,Q1,5/28/2018,Other,Once every 2 to 3 months,Somewhat dissatisfied,,Yes,Female,Ontario,University graduate,35 to 49,English,Other,"$20,000 to under $40,000",No,No,No,Desktop or laptop computer,6.0,0.375,"information, payment, pay, look, wait, tell, get, balance, owe, show","['find', 'information']",0.0,1.0
1083,18136,"My 2017 refund is too much, and I think I need to talk to someone rather than try to fix online.",Q1,5/28/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Yes,Male,Alberta,University graduate,55 to 64,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,2.0,0.3905999958515167,"want, site, help, letter, agent, line, difficult, response, make, direct","['refund', 'think', 'need', 'talk', 'try', 'fix', 'online']",10.0,8.0
1084,18138,I did apply DTC application since four month. Still showing we are processing,Q1,5/28/2018,Submit documents,Once per month or more,Very dissatisfied,,No,Female,Ontario,University graduate,35 to 49,English,Prefer not to say,"$40,000 to under $60,000",No,Yes,No,Desktop or laptop computer,1.0,0.49900001287460327,"change, try, date, online, month, document, send, submit, credit, file","['apply', 'dec_application', 'month', 'show', 'processing']",0.0,1.0
1085,18150,could not find what I needed.,Q1,5/28/2018,Accounts and payments,Once or twice per year,Somewhat dissatisfied,,No,Female,Ontario,Post-graduate degree,65 or older,English,Retired,Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.708299994468689,"find, tax, receive, return, mail, say, need, log, year, process","['find', 'need']",0.0,1.0
1086,18154,I received an email alert concerning an information change to my account but when I go to My Account I cannot find out what???,Q1,5/28/2018,Online mail,Once every 2 to 3 months,Somewhat dissatisfied,,No,Female,Quebec,University graduate,55 to 64,English,Not in the workforce,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,5.0,0.3122999966144562,"account, access, instalment, error, statement, view, user, address, easy, phone","['receive', 'email', 'alert', 'concern', 'information', 'change', 'account', 'account', 'find']",8.0,3.0
1087,18163,"While it shown on ""My Account"" that my T1 2017 Income Tax Return was received, it did not show the date, whwn it was received, nor the date, when it will be processed",Q1,5/28/2018,Tax returns,Once per month or more,Somewhat dissatisfied,,Yes,Male,Manitoba,College/vocational/technical school,55 to 64,English,"Unemployed, but looking for work",Prefer not to say,No,No,No,Desktop or laptop computer,4.0,0.4659000039100647,"find, tax, receive, return, mail, say, need, log, year, process","['show', 'account', 'income', 'tax', 'return', 'receive', 'date', 'receive', 'date', 'process']",3.0,6.0
1088,18196,Because I have been waiting since Dec 2017 for my disability tax credits to be reassessed and they still arent done.,Q1,5/29/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Nova Scotia,High school graduate,55 to 64,English,Self-employed,"$40,000 to under $60,000",No,No,No,Desktop or laptop computer,4.0,0.303600013256073,"find, tax, receive, return, mail, say, need, log, year, process","['wait', 'dec', 'disability', 'tax', 'credit', 'pass']",5.0,8.0
1089,18235,I submitted my tax return mid-March and it's still being assessed,Q1,5/29/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,Post-graduate degree,18 to 34,English,Working full-time (35+ hours per week),"$60,000 to under $80,000",No,No,No,Desktop or laptop computer,0.0,0.3057999908924103,"update, able, email, check, answer, ask, know, understand, message, like","['submit', 'tax', 'return', 'mid', 'march', 'ask']",3.0,8.0
1090,18260,My 2017Return hasnotbeenassessedafter3monthsfromfiling,Q1,5/29/2018,Tax returns,Once per month or more,Very dissatisfied,,No,Male,Ontario,High school graduate,35 to 49,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,7.0,0.12530000507831573,"pension_plan, today, have, end, etc, detail, slip, allow, value, prevent",['2017return'],7.0,1.0
1091,18292,"It takes far too much time, in weeks and months, to process other than the simplest of tax returns.",Q1,5/29/2018,Tax returns,Prefer not to say,Very dissatisfied,,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,4.0,0.36239999532699585,"find, tax, receive, return, mail, say, need, log, year, process","['takes_far', 'time', 'week', 'month', 'process', 'simple', 'tax', 'return']",8.0,3.0
1092,18303,I filed for renewal of disability tx credit in july 2017 and still has not been done (todays date May 29/18 10 months and counting) (so I will not file taxes until it is ....,Q1,5/29/2018,Benefits and tax credits information,Once per month or more,Very dissatisfied,,No,Male,Ontario,College/vocational/technical school,55 to 64,English,Retired,"$20,000 to under $40,000",No,Yes,No,Desktop or laptop computer,1.0,0.5491999983787537,"change, try, date, online, month, document, send, submit, credit, file","['file', 'renewal', 'disability', 'credit', 'july', 'today', 'date', '29/18', 'month', 'count', 'file', 'taxis']",0.0,8.0
1093,18316,"in 2017 tax assessment, line 305 308 310 was nnot provided",Q1,5/29/2018,Tax returns,Once or twice per year,Very dissatisfied,,No,Prefer not to say,Ontario,University graduate,35 to 49,English,Prefer not to say,"$80,000 to under $100,000",No,No,No,Desktop or laptop computer,4.0,0.42500001192092896,"find, tax, receive, return, mail, say, need, log, year, process","['tax', 'assessment', 'line', 'provide']",6.0,10.0
1094,18360,I also wanted to check eligibility for seniors supplement and did not find a link,Q1,5/30/2018,Tax returns,Once or twice per year,Somewhat dissatisfied,,Yes,Female,British Columbia,University graduate,65 or older,English,Retired,"$20,000 to under $40,000",No,Prefer not to say,No,Desktop or laptop computer,4.0,0.5094000101089478,"find, tax, receive, return, mail, say, need, log, year, process","['wanted', 'check', 'eligibility', 'senior', 'supplement', 'find', 'link']",0.0,8.0
1095,18365,My GST information was not accessible through My Account,Q1,5/30/2018,Other,Once or twice per year,Somewhat dissatisfied,,No,Male,British Columbia,Post-graduate degree,50 to 54,English,Working full-time (35+ hours per week),"$120,000 and over",No,No,No,Desktop or laptop computer,5.0,0.22550000250339508,"account, access, instalment, error, statement, view, user, address, easy, phone","['gst', 'information', 'accessible', 'account']",10.0,8.0
1096,18380,The information i was looking for has not been updated in over 3 weeks,Q1,5/30/2018,Tax returns,Prefer not to say,Somewhat dissatisfied,,Prefer not to say,Female,Ontario,College/vocational/technical school,50 to 54,English,Working full-time (35+ hours per week),Prefer not to say,No,No,No,Desktop or laptop computer,6.0,0.625,"information, payment, pay, look, wait, tell, get, balance, owe, show","['information', 'look', 'update', 'week']",0.0,1.0
1097,18409,I needed to submit documents to CRA.  I tried to attach a file the website would redirect me back to a blank submission page. I didn't leave required fields empty.  I gave up after 7 tries! WTF,Q1,5/30/2018,Submit documents,Once or twice per year,Very dissatisfied,,No,Male,British Columbia,Prefer not to say,18 to 34,English,Working full-time (35+ hours per week),Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Desktop or laptop computer,1.0,0.4812999963760376,"change, try, date, online, month, document, send, submit, credit, file","['need', 'submit_documents', 'try', 'attach', 'file', 'website', 'redirect', 'blank', 'submission', 'page', 'leave', 'require', 'field', 'give', 'try', 'whf']",10.0,6.0
1098,18424,I have been unable to determine the status of an error CRA committed nine months ago and is supposedly correcting....,Q1,5/30/2018,Tax returns,Once per month or more,Very dissatisfied,,Yes,Male,Alberta,Post-graduate degree,65 or older,English,Retired,"$100,000 to under $120,000",No,No,No,Desktop or laptop computer,4.0,0.44760000705718994,"find, tax, receive, return, mail, say, need, log, year, process","['unable', 'determine', 'status', 'error', 'commit', 'months_ago', 'supposedly', 'correct']",6.0,10.0
